steamerid,firstname,lastname,DBteamId,IP,start_IP,relief_IP,start_percent,FBV,TBF,G,GS,W,L,SV,BB,K,HBP,ER,R,ERA,RA,H,HR,GB,FB,LD,K9,BB9,HR9,WHIP
1478,Felix,Doubront,BOS,153.4464,153.4464,0,1,90.5,665,26.9204210526,26.9204,10.1471,9.3541,0,63.3988,132.7122,4.9935,72.1936,78.2255,4.23432807807808,4.58811350412913,148.4893,16.73,203.7201,158.1935,97.8866,7.78388935810811,3.71849192942943,0.981254692192192,1.38086067838672
6620,Cory,Burns,TEX,25,0,25,0,90,109,25,0,1.3234,1.1766,0,9.5093,20.9184,0.9693,11.766,12.6957,4.23576,4.570452,24.9439,3.15,32.0832,28.3312,16.2302,7.530624,3.423348,1.134,1.378128
1353,Brian,Omogrosso,CHA,1,0,1,0,92.7,4,1,0,0.0529,0.0471,0,0.3616,0.8406,0.0357,0.4706,0.5071,4.2354,4.5639,0.9946,0.13,1.2693,1.1745,0.6141,7.5654,3.2544,1.17,1.3562
sa454749,Matt,Gorgen,ARI,1,0,1,0,NULL,4,1,0,0.0529,0.0471,0,0.3855,0.7357,0.0315,0.4707,0.5104,4.2363,4.5936,1.0041,0.12,1.4137,1.1069,0.6419,6.6213,3.4695,1.08,1.3896
7370,Joe,Bisenius,WAS,1,0,1,0,94.5,4,0.175438596491228,0.1754,0.0328,0.0356,0,0.3894,0.7688,0.0344,0.4707,0.5101,4.2363,4.5909,1.0077,0.11,1.3938,1.0869,0.6512,6.9192,3.5046,0.99,1.3971
sa503225,Brandon,Sage,NYN,1,0,1,0,NULL,4,1,0,0.0529,0.0471,0,0.3796,0.7097,0.0406,0.4707,0.5107,4.2363,4.5963,1.0201,0.12,1.4347,1.1208,0.6456,6.3873,3.4164,1.08,1.3997
9324,Mike,Belfiore,BAL,35,0,35,0,88.1,154,35,0,1.8523,1.6477,0,16.0711,28.6853,1.3352,16.4774,17.8079,4.23704571428571,4.57917428571428,33.9592,4.49,44.3965,40.5545,21.8428,7.37622,4.13256857142857,1.15457142857143,1.42943714285714
sa503637,Armando,Rodriguez,NYN,1,0,1,0,NULL,4,0.175438596491228,0.1754,0.0328,0.0356,0,0.4105,0.7917,0.0418,0.4708,0.5102,4.2372,4.5918,0.9862,0.12,1.3827,1.0803,0.6222,7.1253,3.6945,1.08,1.3967
sa548151,Jameson,Taillon,PIT,9.5904,9.5904,0,1,95.4,42,1.6825263158,1.6825,0.573,0.6458,0,3.6376,7.6965,0.47,4.5157,4.8959,4.23770645645646,4.59450075075075,9.4036,1.03,13.1452,10.2862,6.0372,7.22269144144144,3.41366366366366,0.966591591591592,1.35981815148482
7882,Josh,Lindblom,OAK,34.1808,19.1808,15,0.561157140851004,90.1,149,18.3650526316,3.3651,1.982,1.9126,0,12.8776,24.5899,1.6231,16.0958,17.3291,4.23811613537425,4.56285107428732,34.4939,4.88,40.4034,46.5351,22.4307,6.47466121331274,3.39074568178627,1.28493189158826,1.38590963347844
7474,Ryan,Webb,BAL,45,0,45,0,92,194,45,0,2.3806,2.1194,1,14.8123,29.9547,1.6998,21.1942,23.1194,4.23884,4.62388,46.9709,4.8,73.8953,42.8124,30.0082,5.99094,2.96246,0.96,1.37296
9920,Matt,Maloney,MIN,1,0,1,0,86.9,4,0.534122807017544,0.0991,0.0409,0.04,0,0.2315,0.6104,0.0483,0.471,0.5086,4.239,4.5774,1.1091,0.13,1.3795,1.3012,0.7252,5.4936,2.0835,1.17,1.3406
sa501724,Jim,Walczak,CIN,1,0.192,0.808,0.192,NULL,4,1,0,0.0529,0.0471,0,0.44,0.8516,0.0291,0.4713,0.5105,4.2417,4.5945,0.9575,0.12,1.3433,1.0494,0.6063,7.6644,3.96,1.08,1.3975
sa526376,Matt,Barnes,BOS,1,1,0,1,94.2,4,0.175438596491228,0.1754,0.066,0.061,0,0.4104,0.9024,0.043,0.4713,0.5088,4.2417,4.5792,0.9595,0.12,1.2281,1.1008,0.6299,8.1216,3.6936,1.08,1.3699
444,Dennys,Reyes,BOS,1,0,1,0,87.5,4,1,0,0.0528,0.0472,0,0.3768,0.7329,0.0491,0.4715,0.5099,4.2435,4.5891,1.038,0.12,1.3391,1.1853,0.6819,6.5961,3.3912,1.08,1.4148
6883,Collin,Balester,DET,1,0,1,0,92.2,4,1,0,0.0528,0.0472,0,0.338,0.7696,0.0487,0.4715,0.5075,4.2435,4.5675,1.0186,0.14,1.2508,1.2793,0.6281,6.9264,3.042,1.26,1.3566
sa455628,Leuris,Gomez,COL,1,0,1,0,NULL,4,0.23299298245614,0.1632,0.0341,0.0362,0,0.3809,0.8297,0.0422,0.4716,0.5101,4.2444,4.5909,1.0138,0.12,1.3457,1.0501,0.6842,7.4673,3.4281,1.08,1.3947
sa390376,Brock,Huntzinger,BOS,1,0,1,0,92.5,4,0.226973684210526,0.1645,0.0339,0.0362,0,0.3752,0.7782,0.0393,0.4717,0.5093,4.2453,4.5837,1.0176,0.12,1.3036,1.1685,0.6686,7.0038,3.3768,1.08,1.3928
